ONLY EDIT THIS COLUMN,QB Ranks,,,,
ID,SDIO,Name,Team,Rank,Comments
Keon Coleman (24964) [BUF],24964,Keon Coleman,BUF,116,
Malik Washington (25103) [MIA],25103,Malik Washington,MIA,117,
Dont'e Thornton Jr. (26102) [LV],26102,Dont'e Thornton Jr.,LV,118,
Keenan Allen (15076) [FA],15076,Keenan Allen,,119,
Jalen Royals (25911) [KC],25911,Jalen Royals,KC,120,
Luke McCaffrey (24987) [WAS],24987,Luke McCaffrey,WAS,121,
Savion Williams (26105) [GB],26105,Savion Williams,GB,122,
Jimmy Horn Jr. (25982) [CAR],25982,Jimmy Horn Jr.,CAR,123,
Travis Hunter (26056) [JAX],26056,Travis Hunter,JAX,124,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,TE Ranks,,,,
ID,SDIO,Name,Team,Rank,Comments
Brock Bowers (24943) [LV],24943,Brock Bowers,LV,1,
Trey McBride (23251) [ARI],23251,Trey McBride,ARI,2,
Colston Loveland (25869) [CHI],25869,Colston Loveland,CHI,3,
Tyler Warren (25874) [IND],25874,Tyler Warren,IND,4,
Sam LaPorta (23141) [DET],23141,Sam LaPorta,DET,5,
Kyle Pitts Sr. (22508) [ATL],22508,Kyle Pitts Sr.,ATL,6,
Harold Fannin Jr. (25870) [CLE],25870,Harold Fannin Jr.,CLE,7,
Tucker Kraft (24118) [GB],24118,Tucker Kraft,GB,8,
Kenyon Sadiq (26755) [NYJ],26755,Kenyon Sadiq,NYJ,9,
Oronde Gadsden (25876) [LAC],25876,Oronde Gadsden,LAC,10,
Jake Ferguson (23138) [DAL],23138,Jake Ferguson,DAL,11,
Dalton Kincaid (24102) [BUF],24102,Dalton Kincaid,BUF,12,
Mason Taylor (25963) [NYJ],25963,Mason Taylor,NYJ,13,
Mark Andrews (19803) [BAL],19803,Mark Andrews,BAL,14,
Eli Stowers (26757) [PHI],26757,Eli Stowers,PHI,15,
Brenton Strange (24223) [JAX],24223,Brenton Strange,JAX,16,
Isaiah Likely (23256) [NYG],23256,Isaiah Likely,NYG,17,
Terrance Ferguson (25970) [LAR],25970,Terrance Ferguson,LAR,18,
T.J. Hockenson (20805) [MIN],20805,T.J. Hockenson,MIN,19,
George Kittle (19063) [SF],19063,George Kittle,SF,20,
Dalton Schultz (19920) [HOU],19920,Dalton Schultz,HOU,21,
Dallas Goedert (19863) [PHI],19863,Dallas Goedert,PHI,22,
Travis Kelce (15048) [KC],15048,Travis Kelce,KC,23,
Oscar Delp (25971) [NO],25971,Oscar Delp,NO,24,
Juwan Johnson (21738) [NO],21738,Juwan Johnson,NO,25,
