"Player Details","","","","","","Rushing","","","","","","","","","","","","","","","","","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","SCRM","YDS","TD","1+ %","3+ %","5+ %","10+ %","15+ %","20+ %","30+ %","i5","i5 %","i10","i10 %","i20","i20 %","TGT","TGT %","REC","YDS","TM YDS %","YPR","YPT","RecYDS/G","CR %","TD","TM TD %","i10","i20 TGT","FUM","WO","WO/G","FP/G","FP"
"73","Trey Benson","ARZ","RB","4","2025","29","160","40.0","5.52","0","0","0","0","0","75.9","51.7","27.6","13.8","6.9","6.9","3.4","1","20.0","2","25.0","3","25.0","13","10.0","13","64","8.6","4.92","4.92","16.0","100.0","0","0.0","0","1","0","36.8","9.2","8.9","35.4"
"74","Jaret Patterson","LAC","RB","6","2025","41","159","26.5","3.88","1","0","0","0","0","87.8","53.7","29.3","4.9","2.4","2.4","","2","16.7","2","12.5","6","20.0","4","2.2","3","8","0.7","2.67","2.00","1.3","75.0","0","0.0","0","0","0","31.2","5.2","4.3","25.7"
"75","Brashard Smith","KC","RB","17","2025","44","151","8.9","3.43","0","1","0","0","0","79.5","54.5","29.5","4.5","","","","1","4.8","5","11.9","10","11.4","34","5.8","25","172","4.4","6.88","5.06","10.1","73.5","1","4.3","3","7","0","86.2","5.1","3.7","63.3"
"76","Jaydon Blue","DAL","RB","5","2025","38","129","25.8","3.39","1","1","0","0","0","60.5","39.5","28.9","13.2","2.6","2.6","","1","10.0","2","14.3","7","25.0","1","0.7","1","5","0.4","5.00","5.00","1.0","100.0","0","0.0","0","0","0","26.1","5.2","4.1","20.4"
"77","Miles Sanders","DAL","RB","4","2025","20","117","29.3","5.85","1","1","0","0","0","90.0","75.0","35.0","5.0","5.0","5.0","5.0","1","12.5","3","27.3","6","35.3","8","4.7","8","30","2.6","3.75","3.75","7.5","100.0","0","0.0","0","1","0","27.6","6.9","6.9","27.7"
"78","Zavier Scott","MIN","RB","11","2025","32","114","10.4","3.56","0","2","0","0","0","81.3","56.3","31.3","9.4","","","","1","9.1","1","5.6","3","7.1","15","4.6","14","98","4.5","7.00","6.53","8.9","93.3","1","8.3","0","3","0","42.9","3.9","3.7","40.2"
"79","Antonio Gibson","NE","RB","5","2025","25","106","21.2","4.24","1","1","0","0","0","76.0","56.0","32.0","12.0","8.0","4.0","","2","28.6","2","13.3","4","16.7","3","1.9","2","6","0.5","3.00","2.00","1.2","66.7","0","0.0","0","0","0","20.1","4.0","3.6","18.2"
"80","Chris Brooks","GB","RB","17","2025","27","106","6.2","3.93","0","0","0","0","0","85.2","59.3","37.0","11.1","","","","0","0.0","1","2.2","3","3.2","17","3.5","13","91","2.4","7.00","5.35","5.4","76.5","0","0.0","0","3","0","43.4","2.6","1.9","32.7"
"81","Raheem Mostert","LV","RB","12","2025","22","104","8.7","4.73","0","0","0","0","0","81.8","59.1","27.3","13.6","4.5","4.5","4.5","0","0.0","1","7.1","4","12.1","12","3.4","12","70","3.2","5.83","5.83","5.8","100.0","0","0.0","1","1","0","32.8","2.7","2.5","29.4"
"82","DJ Giddens","IND","RB","9","2025","26","96","10.7","3.69","0","0","0","0","0","84.6","53.8","38.5","7.7","","","","1","3.7","1","2.4","5","7.5","2","0.7","0","0","0.0","","0.00","0.0","","0","0.0","1","1","0","20.8","2.3","1.1","9.6"
"83","James Conner","ARZ","RB","3","2025","32","95","31.7","2.97","1","1","0","0","0","87.5","43.8","21.9","3.1","","","","3","60.0","3","42.9","5","45.5","9","10.1","8","38","7.0","4.75","4.22","12.7","88.9","1","25.0","1","1","0","34.1","11.4","11.1","33.3"
"84","LeQuint Allen","JAX","RB","17","2025","23","94","5.5","4.09","0","0","0","0","0","91.3","60.9","30.4","8.7","","","","1","3.1","1","1.9","4","3.5","11","2.0","10","54","1.3","5.40","4.91","3.2","90.9","0","0.0","0","2","0","32.6","1.9","1.5","24.8"
"85","Trevor Etienne","CAR","RB","17","2025","20","94","5.5","4.70","0","0","0","0","0","85.0","60.0","40.0","15.0","5.0","5.0","","1","8.3","3","10.7","4","5.9","3","0.6","3","13","0.4","4.33","4.33","0.8","100.0","0","0.0","0","0","0","17.7","1.0","0.8","13.7"
